scenario,year,professional_seats,team_logos,enterprise_wins,enterprise_logos,subscription_arr,revenue,gross_profit,ebitda
Downside,2026,50.0,2.0,0,0.0,33400.0,33400.0,23380.0,-256620.0
Downside,2027,48.99999999999999,1.968,0.0,0.0,32772.0,32772.0,22940.399999999998,-294459.6
Downside,2028,48.01999999999999,1.936512,0.0,0.0,32155.91999999999,32155.91999999999,22509.143999999993,-337482.85599999997
Downside,2029,47.05959999999998,1.905527808,0.0,0.0,31551.53183999999,31551.53183999999,22086.072287999992,-386430.2877119999
Downside,2030,46.118407999999974,1.875039363072,0.0,0.0,30958.61175935999,30958.61175935999,21671.02823155199,-442149.8905684479
Base,2026,50.0,2.0,1,1.0,63400.0,70900.0,55302.0,-224698.0
Base,2027,72.00000000000001,2.8160000000000003,1.5,2.5,122776.0,134026.0,104540.28,-232459.72
Base,2028,103.68000000000004,3.964928000000001,2.25,4.75,210846.88,227721.88,177623.0664,-228176.9336
Base,2029,149.29920000000007,5.582618624000002,3.375,8.125,341535.11872,366847.61872,286141.14260160003,-202741.35739839997
Base,2030,214.9908480000001,7.860327022592004,5.0625,13.1875,535542.3519769601,573511.1019769601,447338.6595420289,-141921.8404579711
Upside,2026,50.0,2.0,2,2.0,93400.0,108400.0,89972.0,-190028.0
Upside,2027,98.89999999999999,3.68,3.5,5.5,229685.2,255935.2,212426.216,-149573.784
Upside,2028,195.62419999999997,6.7712,6.125,11.625,474158.12559999997,520095.62559999997,431679.369248,-37200.63075200003
Upside,2029,386.9446675999999,12.459008,10.71875,22.34375,913697.6444367999,994088.2694367999,825093.2636325439,216622.86363254383
Upside,2030,765.3765525127997,22.924574720000003,18.7578125,41.1015625,1705865.9751759903,1846549.5689259903,1532636.1422085718,741477.2302085718
